sku,description,image,manufacturer,meta_description,meta_title,name,name_original,price,short_description,weight
TEM08101B," 
	<br>
	Placa Peltier, o semiconductor enfriador, es un dispositivo disipador de calor que aprovecha el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraciones.
	<br><br>Las aplicaciones típicas de la placa Peltier son los sistemas de refrigeración para piezas de calentamiento, como LEDs y chips. Pero ellos también son ampliamente utilizados en dispositivos portátiles de refrigeración, como caja de hielos.
		<br><br><b>Características</b>
	 <br> 
		<ul>
<li>
				La velocidad de enfriamiento es controlable mediante el ajuste de la electricidad operativa
			</li>
			<li>
				Sin ruido, sin vibraciones, libre de fricción, rendimiento fiable
			</li>
			<li>
				Pequeño tamaño y peso ligero
			</li>
			<li>
				No hay líquido de refrigeración, amigable al medio ambiente
			</li>
			<li>
				Puede ser utilizado como dispositivo de calentamiento mediante el cambio de la dirección de la electricidad
			</li>
		</ul> 
			 
				<b>Especificaciones</b>
			 <br><br><ul>
<li>
		Máxima corriente: 4A
	</li>
	<li>
		Máximo Voltaje: 3.75V
	</li>
	<li>
		Poder Nevera máximo: 7W
	</li>
	<li>
		Diferencia máxima de temperatura: 68 ℃
	</li>
	<li>
		Dimensiones (mm): 20 * 20 * 3.5
	</li>
	<li>
		Resistencia: 0.76Ω
	</li>
</ul> 
	<b>Tipo: TEC1-03104</b>
 <br><br><br><br>Peltier Plate - 20mm*20mm<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Placa Peltier, o semiconductor enfriador, es un dispositivo disipador de calor que aprovecha el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraciones.
La",/t/e/tem08101b.jpg,Otros - Seeed Studio,"Placa Peltier, o semiconductor enfriador, es un dispositivo disipador de calor que aprovecha el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraciones.
La",Placa Peltier - 20mm*20mm - Silicio.mx,Placa Peltier - 20mm*20mm,Peltier Plate - 20mm*20mm,75,"Placa Peltier, o semiconductor enfriador, es un dispositivo disipador de calor que aprovecha el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraciones.
Las aplicaciones típicas de la placa Peltier son los sistemas de refrigeración para piezas de calentamiento, como LEDs y chips.",5
TEM08102B," 
 <br><br> 
	Placa Peltire, también enfriador de semiconductor, es un dispositivo disipador de calor aprovechando el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraciones.
 <br><br>Las aplicaciones típicas de placa Peltier son los sistemas de refrigeración de las piezas de calentamiento, como LED y patatas fritas. Pero ello también son ampliamente utilizados dispositivos de refrigeración, como las cajas de hielo.
 <br><br><b>Características</b>
 <br> 
	<ul>
<li>
			La velocidad de enfriamiento es controlable mediante el ajuste de la electricidad operativa
		</li>
		<li>
			Sin ruido, sin vibraciones, libre de fricción, rendimiento fiable
		</li>
		<li>
			Pequeño tamaño y peso ligero
		</li>
		<li>
			No hay líquido de refrigeración, amigable al medio ambiente
		</li>
		<li>
			Puede ser utilizado como dispositivo de calentamiento mediante el cambio de la dirección de la electricidad
		</li>
	</ul> 
		 
			<b>Especificaciones</b>
		 <br> 
			<ul>
<li>
					Máxima corriente: 4A
				</li>
				<li>
					Máximo Voltaje: 5.8V
				</li>
				<li>
					Poder Nevera máximo: 13.7W
				</li>
				<li>
					Diferencia máxima de temperatura: 68 ℃
				</li>
				<li>
					Dimensiones (mm): 25*25*3.7
				</li>
				<li>
					Resistencia: 1.16Ω
				</li>
			</ul> 
				<b>Tipo: TEC1-04904</b>
			 <br><br><br><br>Peltier Plate - 25mm*25mm<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Placa Peltire, también enfriador de semiconductor, es un dispositivo disipador de calor aprovechando el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraci",/t/e/tem08102b.jpg,Otros - Seeed Studio,"Placa Peltire, también enfriador de semiconductor, es un dispositivo disipador de calor aprovechando el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraci",Placa Peltier - 25mm*25mm - Silicio.mx,Placa Peltier - 25mm*25mm,Peltier Plate - 25mm*25mm,82,"Placa Peltire, también enfriador de semiconductor, es un dispositivo disipador de calor aprovechando el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraciones.
Las aplicaciones típicas de placa Peltier son los sistemas de refrigeración de las piezas de calentamiento, como LED y patatas fritas.",9
TEM09241B," 
	Placa Peltire, también enfriador de semiconductor, es un dispositivo disipador de calor aprovechando el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraciones.
 <br><br>Las aplicaciones típicas de placa Peltier son los sistemas de refrigeración de las piezas de calentamiento, como LED y patatas fritas. Pero ello también son ampliamente utilizados dispositivos de refrigeración, como las cajas de hielo.
 <br><br><b>Características</b>
 <br> 
	<ul>
<li>
			Velocidad de enfriamiento es controlable mediante el ajuste de la electricidad operativo
		</li>
		<li>
			Sin ruido, sin vibraciones, fricción libre, un rendimiento fiable
		</li>
		<li>
			Pequeño tamaño y peso ligero
		</li>
		<li>
			No hay líquido de refrigeración, respetuoso del medio ambiente
		</li>
		<li>
			Puede ser utilizado como dispositivo de calentamiento mediante el cambio de la dirección de la electricidad
		</li>
	</ul> <br> 
	<b>Especificaciones</b>
 <br> 
	<ul>
<li>
			Corriente máxima: 3A
		</li>
		<li>
			Máximo Voltaje: 8.5V
		</li>
		<li>
			Poder Nevera máximo: 14,9
		</li>
		<li>
			Dimensiones (mm): 30 * 30 * 3,5
		</li>
		<li>
			Resistencia: 1.81Ω
		</li>
	</ul> <br> 
	<b>Tipo: TEC1-07103</b>
 <br><br><br>Peltier Plate - 30mm*30mm<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Placa Peltire, también enfriador de semiconductor, es un dispositivo disipador de calor aprovechando el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraci",/t/e/tem09241b.jpg,Otros - Seeed Studio,"Placa Peltire, también enfriador de semiconductor, es un dispositivo disipador de calor aprovechando el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraci",Peltier Plate - 30mm * 30mm - Silicio.mx,Peltier Plate - 30mm * 30mm,Peltier Plate - 30mm*30mm,91,"Placa Peltire, también enfriador de semiconductor, es un dispositivo disipador de calor aprovechando el efecto Peltier. Es sólido, fiable, sin ruido y sin vibraciones, adecuado para aplicaciones que tienen límites en el espacio, el ruido y las vibraciones.
Las aplicaciones típicas de placa Peltier son los sistemas de refrigeración de las piezas de calentamiento, como LED y patatas fritas.",15
TEM09242B," 
	<a href=""http://www.seeedstudio.com/depot/shenzhen-2-u-c-207.html"">Por favor, lea la guía en Shenzhen 2 U antes de hacer cualquier compra en este catálogo.</a>
	<br><br>La batería 23A es una fuente de alimentación ideal para proyectos que tienen estrictos requisitos de volumen, debido a su tamaño pequeño y gran capacidad. Muchos productos, como la cámara, el mando a distancia, tarjeta de música y así sucesivamente otros productos, ya lo han adoptado. Si usted está en busca de una fuente de alimentación pequeña pero enérgica como la batería 23A, ¿por qué no ordenar un porta batería ahora?.
	<br><br><b>Especificaciones</b>
 <br> 
	<ul>
<li>
			Dimensiones: 35 x 12 x 11,5
		</li>
		<li>
			Longitud: 150mm
		</li>
	</ul> <br><br><br>12V 23A Battery Holder Case<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>La batería 23A es una fuente de alimentación ideal para proyectos que tienen estrictos requisitos de volumen, debido a su tamaño pequeño y gran capacidad. Muchos productos, como la cámara, el mando a distancia, tarjeta de música y así sucesivamente ot",/t/e/tem09242b.jpg,Otros - Seeed Studio,"La batería 23A es una fuente de alimentación ideal para proyectos que tienen estrictos requisitos de volumen, debido a su tamaño pequeño y gran capacidad. Muchos productos, como la cámara, el mando a distancia, tarjeta de música y así sucesivamente ot",Porta Baterías 12V 23A  - Silicio.mx,Porta Baterías 12V 23A ,12V 23A Battery Holder Case,13,"La batería 23A es una fuente de alimentación ideal para proyectos que tienen estrictos requisitos de volumen, debido a su tamaño pequeño y gran capacidad. Muchos productos, como la cámara, el mando a distancia, tarjeta de música y así sucesivamente otros productos, ya lo han adoptado.",3
TEM09291B,"Este micro generador hidroeléctrico G1/2 suministra electricidad limpia y renovable. Con la ayuda del circuito regulador interno, la salida de este generador es estable a 3.6V. Y la capacidad de la batería se ha mejorado desde 300mAh a 700mAh con respecto a la versión anterior.
<br><br>Es hora de cambiar las baterías Li-Po en sus proyectos por una energía hidroeléctrica verde y más accesible.
	 <br> 
		 
	 <br> 
		<b>Características</b>
	 <br><ul>
<li>
			Tensión de salida estable
		</li>
		<li>
			Mejora de la capacidad de la batería
		</li>
		<li>
			Limpio y divertido
		</li>
	</ul> 
		<b>Especificaciones</b>
	 <br> 
		<ul>
<li>
				Presión de trabajo: &lt;2KGF
			</li>
			<li>
				Caída de Presión: 0,4 bar (3,0 L / min)
			</li>
			<li>
				Voltaje de salida: 3.6V
			</li>
			<li>
				Pico de corriente: 1.4A
			</li>
			<li>
				Capacidad de la batería: 700mAh
			</li>
		</ul> 
			<a href=""http://www.seeedstudio.com/document/3.6V%20Micro%20Hydro%20Generator%20Pro.pdf""><b>Hoja de datos</b></a>
		 <br><br><br><br>3.6V Micro Hydro Generator Pro<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Este micro generador hidroeléctrico G1/2 suministra electricidad limpia y renovable. Con la ayuda del circuito regulador interno, la salida de este generador es estable a 3.6V. Y la capacidad de la batería se ha mejorado desde 300mAh a 700mAh con resp",/t/e/tem09291b.jpg,Otros - Seeed Studio,"Este micro generador hidroeléctrico G1/2 suministra electricidad limpia y renovable. Con la ayuda del circuito regulador interno, la salida de este generador es estable a 3.6V. Y la capacidad de la batería se ha mejorado desde 300mAh a 700mAh con resp",Micro generador hidroeléctrico 3.6V  - Silicio.mx,Micro generador hidroeléctrico 3.6V ,3.6V Micro Hydro Generator Pro,770,"Este micro generador hidroeléctrico G1/2 suministra electricidad limpia y renovable. Con la ayuda del circuito regulador interno, la salida de este generador es estable a 3.6V. Y la capacidad de la batería se ha mejorado desde 300mAh a 700mAh con respecto a la versión anterior.
Es hora de cambiar las baterías Li-Po en sus proyectos por una energía hidroeléctrica verde y más accesible.",222
TEM11291B," 
	 
		 
			Este zócalo es un accesorio muy útil para los sensores de gas. Se puede utilizar para extender los cables de los sensores de gas como MQ5 y sensores de humo. Esto ayuda a que sea posible montar el sensor de gas en una placa de prototipos o proteger sensor de gas del calor de la soldadura.
			<br><br><br><br>Gas Sensor Socket<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Este zócalo es un accesorio muy útil para los sensores de gas. Se puede utilizar para extender los cables de los sensores de gas como MQ5 y sensores de humo. Esto ayuda a que sea posible montar el sensor de gas en una placa de prototipos o proteger se",/t/e/tem11291b.jpg,Otros - Seeed Studio,Este zócalo es un accesorio muy útil para los sensores de gas. Se puede utilizar para extender los cables de los sensores de gas como MQ5 y sensores de humo. Esto ayuda a que sea posible montar el sensor de gas en una placa de prototipos o proteger se,Zócalo para sensor de gas - Silicio.mx,Zócalo para sensor de gas,Gas Sensor Socket,13,Este zócalo es un accesorio muy útil para los sensores de gas. Se puede utilizar para extender los cables de los sensores de gas como MQ5 y sensores de humo. Esto ayuda a que sea posible montar el sensor de gas en una placa de prototipos o proteger sensor de gas del calor de la soldadura.,2
TES12995M," 
	DSJTAG es un cable USB JTAG 2 en 1 para FPGA / CPLD. La función de DSJTAG puede cambiarse mediante un interruptor.
	<br><br>
	Con el interruptor hacia abajo, DSJTAG actúa como un JTAG para FPGA Xilinx, compatible con la Plataforma Xilinx utilizando un Cable USB I. (Soporta todos los dispositivos y todas sus características). Con el interruptor hacia arriba, actúa como un JTAG para FPGA Altera, compatible con la plataforma Altera USB Blaster. (Soporta todos los dispositivos y todas sus características).
	<br><br>
	DSJTAG se convertirá en su mejor herramienta cuando trabaje con FPGA. DSJTAG le permitirá despreocuparse del FPGA que debe ser seleccionado. Puede utilizar DSJTAG con ISE o Quartus como prefiera.
	<br><br><b>Características</b>
	 <br><br>Función1: Xilinx - Cable USB I
	 <br> 
		<ul>
<li>
				Compatible con Plataforma Xilinx Cable USB I, iMPACT / ISE / chipscope / EDK
			</li>
			<li>
				El firmware se puede actualizar por iMPACT, y puede ser actualizado a la nueva versión
			</li>
			<li>
				Auto detecta el voltaje de la placa de destino
			</li>
			<li>
				Soporta todos los dispositivos de Xilinx, incluyen FPGA / CPLD con niveles de voltaje 5V, 3.3V, 2.5V, 1.8V y 1.5V
			</li>
			<li>
				Soporte de conexión en caliente, tanto de USB como tarjeta objetivo, de alta impedancia para evitar dañar la placa de destino.
			</li>
			<li>
				LED de estado Tri-color
				<br>
</li>
			<li>
				Soporta programación SPI FLASH
			</li>
		</ul> <br> 
		Función2: Altera - USB Blaster
	 <br> 
		<ul>
<li>
				Compatible con Altera USB Blaster, utilizando Quartus II / SignalTap II
				<br>
</li>
			<li>
				Soporta todos los dispositivos de Altera, incluyendo Cyclone III y Stratix II, entre otros.
			</li>
			<li>
				Soporte de modo AS / PS /JTAG
			</li>
			<li>
				Apoya la comunicación de depuración del sistema con Nios II.
			</li>
			<li>
				LED de estado bicolor.
				<br>
</li>
		</ul> 
			Para obtener más información, por favor visite <a href=""http://www.seeedstudio.com/wiki/DSJTAG"">aquí</a>
		 <br><br><br><br>DSJTAG - 2 in 1 USB JTAG cable for FPGA/CPLD<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""http://www.seeedstudio.com/wiki/DSJTAG""><b>Seeed Studio</b></a>DSJTAG es un cable USB JTAG 2 en 1 para FPGA / CPLD. La función de DSJTAG puede cambiarse mediante un interruptor.
Con el interruptor hacia abajo, DSJTAG actúa como un JTAG para FPGA Xilinx, compatible con la Plataforma Xilinx utilizando un Cable USB ",/t/e/tes12995m.jpg,Otros - Seeed Studio,"DSJTAG es un cable USB JTAG 2 en 1 para FPGA / CPLD. La función de DSJTAG puede cambiarse mediante un interruptor.
Con el interruptor hacia abajo, DSJTAG actúa como un JTAG para FPGA Xilinx, compatible con la Plataforma Xilinx utilizando un Cable USB ",DSJTAG - cable USB JTAG 2 en 1 para FPGA / CPLD - Silicio.mx,DSJTAG - cable USB JTAG 2 en 1 para FPGA / CPLD,DSJTAG - 2 in 1 USB JTAG cable for FPGA/CPLD,1280,"DSJTAG es un cable USB JTAG 2 en 1 para FPGA / CPLD. La función de DSJTAG puede cambiarse mediante un interruptor.
Con el interruptor hacia abajo, DSJTAG actúa como un JTAG para FPGA Xilinx, compatible con la Plataforma Xilinx utilizando un Cable USB I. (Soporta todos los dispositivos y todas sus características). Con el interruptor hacia arriba, actúa como un JTAG para FPGA Altera, compatible con la plataforma Altera USB Blaster.",160
TES80315M,"
<p>
	Esto es un generador de funciones de bajo costo y versátil capaz de producir muchas formas de onda diferentes. Al igual que FG085, este dispositivo es una herramienta fácil de utilizar. Es un ideal de prueba / experimento herramienta para aficionados a la electrónica y los estudiantes. 
</p>
<p>
	<b>Especificaciones</b> 
</p>
<ul>
<li>
		Margen de frecuencia: 0 - 200 KHz (Seno) 
	</li>
	<li>
		Resolución de frecuencia: 1Hz 
	</li>
	<li>
		Resolución de período: 1 ms 
	</li>
	<li>
		Rango de amplitud: 0 - 10 V pico a pico 
	</li>
	<li>
		Offset:-5V - +5 V 
	</li>
	<li>
		Capacidad de memoria: 256 bytes 
	</li>
	<li>
		Frecuencia de muestreo: 2.5Msps 
	</li>
	<li>
		Impedancia de salida: 50 ohmios 
	</li>
	<li>
		Tensión de alimentación:  15V CC
	</li>
	<li>
		Consumo de corriente: &lt;150 mA (sin carga) 
	</li>
	<li>
		Dimensiones: 155 x 55 x 30 mm 
	</li>
	<li>
		Peso neto: 100 gramos 
	</li>
</ul><p>
	<b>Funciones implementadas a partir del firmware actual</b> 
</p>
<ul>
<li>
		Generación de señal de onda continua: seno, cuadrada, triangular, rampa (arriba y abajo) y Escalera (arriba y abajo)
	</li>
	<li>
		Generación de señal para control/prueba de motores servo definiendo el ancho de pulso, la amplitud, y ciclo de las señales.
	</li>
	<li>
		El ajuste de la frecuencia (o periodo), de amplitud y desplazamiento se realiza con los dedos - de manera rápida y directa 
	</li>
	<li>
		Frecuencia (periodo), la amplitud y desplazamiento puede ajustarse de modo incremental arriba y abajo con codificador giratorio 
	</li>
	<li>
		Los ajustes se guardarán cuando apague. 
	</li>
	<li>
		Puede ser utilizado como una fuente de tensión continua regulable por ajuste de amplitud a 0 
	</li>
</ul><p>
	<b>Características por implementarse</b> 
</p>
<ul>
<li>
		Generación de señales arbitrarias 
	</li>
	<li>
		Generación de señales de prueba especial NTSC / PAL señal de vídeo sincrónica y más 
	</li>
	<li>
		La generación de la señal de barrido con fase continua 
	</li>
	<li>
		Conexión USB para descarga y control de la forma de onda  
	</li>
	<li>
		Frecuencia, amplitud, y offset programable
	</li>
	<li>
		Salida sincrónica 
	</li>
</ul><p>
	<a href=""http://garden.seeedstudio.com/FG085_miniDDS"">Manual y hoja de especificaciones se puede descargar aquí</a> . 
</p>


<br><br>Mini DDS Function Generator<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""http://garden.seeedstudio.com/FG085_miniDDS""><b>Seeed Studio</b></a>Esto es un generador de funciones de bajo costo y versátil capaz de producir muchas formas de onda diferentes. Al igual que FG085, este dispositivo es una herramienta fácil de utilizar. Es un ideal de prueba / experimento herramienta para aficionados ",/t/e/tes80315m.jpg,Otros - Seeed Studio,"Esto es un generador de funciones de bajo costo y versátil capaz de producir muchas formas de onda diferentes. Al igual que FG085, este dispositivo es una herramienta fácil de utilizar. Es un ideal de prueba / experimento herramienta para aficionados ",Generador de Funciones - Mini DDS - Silicio.mx,Generador de Funciones - Mini DDS,Mini DDS Function Generator,1620,"Esto es un generador de funciones de bajo costo y versátil capaz de producir muchas formas de onda diferentes. Al igual que FG085, este dispositivo es una herramienta fácil de utilizar. Es un ideal de prueba / experimento herramienta para aficionados a la electrónica y los estudiantes.",250
THM104C4B,"Sensor de corriente no-invasiva, utiliza este clip-sensor para construir un monitor de energía personal.
 
	
	<br>
 <br> 
	Modelo: SCT-013-030
 <br><br>Nota: El color puede variar debido a los diferentes lotes
<br> Proyecto de referencia: <a href=""http://openenergymonitor.org/emon/applications"">Enlace</a>
 
	<b> </b>
 <br><br><br>Non-invasive AC current sensor (30A max)<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""http://garden.seeedstudio.com/index.php?title=Non-invasive_AC_current_sensor(30A_max)""><b>Seeed Studio</b></a>Sensor de corriente no-invasiva, utiliza este clip-sensor para construir un monitor de energía personal.",/t/h/thm104c4b.jpg,Otros - Seeed Studio,"Sensor de corriente no-invasiva, utiliza este clip-sensor para construir un monitor de energía personal.",Sensor de corriente AC no-invasiva (30A max) - Silicio.mx,Sensor de corriente AC no-invasiva (30A max),Non-invasive AC current sensor (30A max),180,"Sensor de corriente no-invasiva, utiliza este clip-sensor para construir un monitor de energía personal.",75
THM105C4B,"Sensor de corriente, utiliza este sensor-clip para construir un monitor de energía.
<br> 
	 
 <br> 
	Modelo: SCT-013-000
 <br> 
	  
 <br>Nota: El color puede variar.    Proyecto de referencia: <a href=""http://openenergymonitor.org/emon/applications"">Enlace</a><br><br>Non-invasive AC current sensor (100A max)<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""http://garden.seeedstudio.com/index.php?title=Non-invasive_AC_current_sensor_(100A_max)""><b>Seeed Studio</b></a>Sensor de corriente, utiliza este sensor-clip para construir un monitor de energía.
Modelo: SCT-013-000
Nota: El color puede variar.",/t/h/thm105c4b.jpg,Otros - Seeed Studio,"Sensor de corriente, utiliza este sensor-clip para construir un monitor de energía.
Modelo: SCT-013-000
Nota: El color puede variar.",Sensor de corriente AC no-invasiva (100Amax) - Silicio.mx,Sensor de corriente AC no-invasiva (100Amax),Non-invasive AC current sensor (100A max),225,"Sensor de corriente, utiliza este sensor-clip para construir un monitor de energía.
Modelo: SCT-013-000
Nota: El color puede variar.",75
THM199C4M," 
	Un cable/arnés de interfaz para el Bus Pirate V3 que hace más fácil conectar el Pirate Bus a un circuito y obtener señales. ¡No te quedes sin uno de estos! Son 10 sondas de colores.
	<br><br><br><br>Bus Pirate probe kit<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>Un cable/arnés de interfaz para el Bus Pirate V3 que hace más fácil conectar el Pirate Bus a un circuito y obtener señales. ¡No te quedes sin uno de estos! Son 10 sondas de colores.",/t/h/thm199c4m.jpg,Otros - Seeed Studio,Un cable/arnés de interfaz para el Bus Pirate V3 que hace más fácil conectar el Pirate Bus a un circuito y obtener señales. ¡No te quedes sin uno de estos! Son 10 sondas de colores.,Sondas para Bus Pirate - Silicio.mx,Sondas para Bus Pirate,Bus Pirate probe kit,235,Un cable/arnés de interfaz para el Bus Pirate V3 que hace más fácil conectar el Pirate Bus a un circuito y obtener señales. ¡No te quedes sin uno de estos! Son 10 sondas de colores.,21
TOL102C3B," 
	El programador AVRISP2.0 STK500 se comunica con el PC mediante el puerto USB, y funciona con la mayoría de los ordenadores PC y portátiles.
 <br><ul>
<li>
		Puede soportar una amplia gama de microcontroladores ATMEL AVR.
	</li>
	<li>
		Se puede trabajar con AVR Studio o WinAVR (GCC)
	</li>
	<li>
		Funciona con ATMEL AVR Studio 4.13, es posible actualizar su firmware para poder trabajar en una versión superior del AVR Studio y poder soportar a más dispositivos.
	</li>
	<li>
		Tamaño compacto - 75mm x 57mm x 27mm
	</li>
</ul> 
	<b>C</b>on PL2303 (USB a Serial)
	<br><br><b>El paquete incluye los siguientes componentes</b>
 <br> 
	<ul>
<li>
			Mini Programador ATMEL ISP AVR STK500 USB V2.0 X1
		</li>
		<li>
			Cable USB X1
		</li>
		<li>
			10-PIN IDC cable ISP  X1
		</li>
		<li>
			10-PIN a 6-PIN IDC cable ISP X1
		</li>
		<li>
			CD ROM (AVR Studio software, programador del controlador USB ..) X1
		</li>
	</ul> 
		 
			 
				 
					
					<br><br><br><br>Atmel AVRISP STK500 USB ISP Programmer<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""http://garden.seeedstudio.com/index.php?title=Atmel_AVRISP_STK500_USB_ISP_Programmer""><b>Seeed Studio</b></a>El programador AVRISP2.0 STK500 se comunica con el PC mediante el puerto USB, y funciona con la mayoría de los ordenadores PC y portátiles.",/t/o/tol102c3b.jpg,Otros - Seeed Studio,"El programador AVRISP2.0 STK500 se comunica con el PC mediante el puerto USB, y funciona con la mayoría de los ordenadores PC y portátiles.",Programador USB AVRISP ISP STK500 de Atmel  - Silicio.mx,Programador USB AVRISP ISP STK500 de Atmel ,Atmel AVRISP STK500 USB ISP Programmer,590,"El programador AVRISP2.0 STK500 se comunica con el PC mediante el puerto USB, y funciona con la mayoría de los ordenadores PC y portátiles.",155
TOL104C3M,"<b>Características:</b>
 
	<br> <br> 
	● Precisión alrededor del 1%.
 <br> 
	● Rango de medición: 1pF - 500uF
 <br> 
	● Interruptor automático del rango
 <br> 
	● Puesta a cero disponible
 <br> 
	● Salida serie de medición en tiempo real, lecturas con fecha y hora.
 <br> 
	● Bajo costo y fácil de construir
 <br><br><b>El kit incluye:</b>
 <br><br>Todas las partes excepto la fuente de alimentación.
 <br> 
	Esquemas.
 <br> 
	Manual.
 <br><br> 
	Este es un medidor de capacitancia simple pero muy útil. Corrección de errores de diseño de versiones anteriores y viene con varias mejoras:
 <br><br>● Mejora de diseño de PCB.
 <br> 
	● Se ha añadido la popular entrada DC para una fácil conexión de fuente de alimentación.
 <br> 
	● Se ha añadido conmutador. Deseable cuando trabaja con batería.
 <br> 
	● Se han añadido orificios de montaje.
 <br> 
	● Polaridad marcada.
 <br> 
	● Un tamaño más pequeño.
 <br><br><a href=""http://www.jyetech.com/Products/CapMeter/DN060-02v02.pdf"">Manual </a>
 
	<br> <br><br><br>Capacitance Meter Kit<br>Producto diseñado por: <a href=""https://www.google.com/search?q=Otros+-+Seeed+Studio""><b>Otros - Seeed Studio</b></a><br>Mas información disponible en: <a href=""""><b>Seeed Studio</b></a>:
● Precisión alrededor del 1%.
● Rango de medición: 1pF - 500uF
● Interruptor automático del rango
● Puesta a cero disponible
● Salida serie de medición en tiempo real, lecturas con fecha y hora.
● Bajo costo y fácil de construir
El kit incluye:
Toda",/t/o/tol104c3m.jpg,Otros - Seeed Studio,":
● Precisión alrededor del 1%.
● Rango de medición: 1pF - 500uF
● Interruptor automático del rango
● Puesta a cero disponible
● Salida serie de medición en tiempo real, lecturas con fecha y hora.
● Bajo costo y fácil de construir
El kit incluye:
Toda",Kit Medidor de Capacitancia - Silicio.mx,Kit Medidor de Capacitancia,Capacitance Meter Kit,225,":
● Precisión alrededor del 1%.
● Rango de medición: 1pF - 500uF
● Interruptor automático del rango
● Puesta a cero disponible
● Salida serie de medición en tiempo real, lecturas con fecha y hora.
● Bajo costo y fácil de construir
El kit incluye:
Todas las partes excepto la fuente de alimentación.
Esquemas.
Manual.",32
