SKU,Imagen,Nombre,Precio,Descripci�n,Peso
ACC17112O,/a/c/acc17112o.jpg,Arnés de 4 pines 2.54 puntas Hembra (Paquete de 5 Piezas), $74.00 ,"Algunos clientes se quejan de que no pueden utilizar Arduino para controlar módulos Grove directamente. Por eso hacemos este cable puenteador de 4 pines Grove 2.54 con extremos hembra. Con este cable, usted puede fácilmente conectar todos los módulos Grove Seeed a cualquier conector de paso de 2.54 mm. Se incluyen 5 piezas en el mismo paquete. La longitud de cada cable es de 30 cm. Nota: El lado Grove utiliza el conector abrochado.",25
ACC51924M,/a/c/acc51924m.jpg,Funda de transporte EVA para Explorador RF, $71.00 ,"Esta funda de calidad EVA es el compañero perfecto para su unidad Explorador RF.
Protege su dispositivo y tiene espacio suficiente para su antena.",150
ACC83054O,/a/c/acc83054o.jpg,"Grove - Cable de 4 pines universal, 5cm flexibles (Paquete de 5 piezas)", $31.00 ,El cable universal de 4 pines flexible está fabricado para el  para conectar todas las ramificaciónes Grove hacia el  o hacia otras tarjetas o dispositivos compatibles para prototipado rápido y sencillo.,15
ACC83055O,/a/c/acc83055o.jpg,"Grove - Cable de 4 pines universal, 30cm flexibles (Paquete de 5 piezas)", $47.00 ,El cable universal de 4 pines flexible está fabricado para el  para conectar todas las ramificaciónes Grove hacia el  o hacia otras tarjetas o dispositivos compatibles para prototipado rápido y sencillo.,25
ACC83056O,/a/c/acc83056o.jpg,Grove - Universal 4 Pin Buckled 40cm Cable (5 unidades), $64.00 ,El cable universal de 4 pines Buckled se hace para el  para conectar todas las ramas de la  o a otras placasTwig para prototipado rápido compatibles.,30
ACC83057O,/a/c/acc83057o.jpg,Grove - Cable universal abrochado de 4 Pines y 50cm (5 PCs/Paquete), $64.00 ,"El cable universal abrochado de 4 Pines está hecho para el Sistema Grove para conectar todas las ramas de la o a otras placas Twig compatibles para prototipado rápido. Como muchos de los usuarios piden diferente longitud de los cables, hicimos los cables de 5cm, 20cm, 30cm, 40 cm, 50 cm para diferentes aplicaciones.",35
ARD110C4M,/a/r/ard110c4m.jpg,Conector de alimentación JST 2 Pin , $2.00 ,"Conector JST 10 cm de largo, contiene 2 clavijas con 2,0 mm de espaciado. Unica medida.",5
ARD112C5B,/a/r/ard112c5b.jpg,Cable Mini USB de 100 cm, $33.00 ,"Cable Mini USB de 100 cm, es necesario en cualquier lado hoy en día.",55
ARD115C4B,/a/r/ard115c4b.jpg,Cable USB tipo-B para Diecimila de Arduino y Freeduino, $33.00 ,"Éste es un cable de USB tipo B, con 1 metro de longitud. Es compatible con Arduino Uno.",64
CAB01101M,/c/a/cab01101m.jpg,Cable para Puentear con sondas en el extremo - 8 piezas de colores, $71.00 ,"Este es un cable de puenteado de 300 mm de largo con sonda de pruebas en el extremo, es fácil para la conexión de dos puntos.",26
CAB103C4O,/c/a/cab103c4o.jpg,Cable puente de 2 pines hembra doble - 300 mm (10 PCs/Paquete), $64.00 ,Cable puente de 2 pines hembra doble - 300 mm (10 PCs/Paquete),23
CAB104C4O,/c/a/cab104c4o.jpg,"Arnés de 4 pines para puentear, en conexión hembra en ambas puntas (30 cm de largo, paquete de 5 grupos)", $64.00 ,Súper flexibles y muy útiles en prototipos.,22
CAB105C4O,/c/a/cab105c4o.jpg,"Cables individuales para 4 pines en conexión hembra (30 cm de largo, paquete de 5 grupos)", $64.00 ,Súper flexibles y muy útiles en prototipos.,30
COM101B8B,/c/o/com101b8b.jpg,Sirena de tono fijo 110dBA, $145.00 ,"Esta Zumbador piezoeléctrico tipo pasivo está hecho de plástico, de colores muy reconocibles. Puede generar sonido sobre 110dBA (!), así que no lo haga cerca de los oídos cuando se pruebe el zumbador. Incluye generador de señales incluido, sólo alimente con 6-12V y empezará a sonar muy fuerte.",64
COM08213P,/c/o/com08213p.jpg,Grove - Interruptor (P), $42.00 ,"Este interruptor Grove es un pequeño SDPT deslizable, adecuado para aplicaciones de ON/OFF. Siendo un interruptor fiable y de gran calidad de construcción, es adoptado en diversos tipos de nuestras plataformas. Es recomendado almacenar algunos para las diversas aplicaciones que diseñes.
Los productos grove serie P cuentan con agujeros para montar facilmente la placa.",2
COM22639P,/c/o/com22639p.jpg,Grove - Relé, $48.00 ,"El relé es un interruptor digital normalmente abierto que controla un relé capaz de conmutar voltajes y corrientes de mayor capacidad que las plataformas Arduino normales. Cuando se establece un ALTO, el LED se encenderá y el relé se cerrará permitiendo que la corriente fluya. La máxima tensión de pico es de 250 V con 10 amperios.",10
CNE103B3B,/c/n/cne103b3b.jpg,Jack/conector de barril para alimentación DC, $6.00 ,Jack/conector de barril para alimentación DC,5
CNE105B3B,/c/n/cne105b3b.jpg,Conector USB Hembra Tipo B, $6.00 ,Conector USB Hembra Tipo B,3
COM103B2P,/c/o/com103b2p.jpg,Paquete de componentes básicos 20 en 1, $68.00 ,Paquete con los componentes electrónicos más comunes que se utilizan.,26
COM12292B,/c/o/com12292b.jpg,Mini Solenoide CC VL-0063, $135.00 ,"Este mini-solenoide de 14.8-Volt DC es para trabajo de potencia instantánea e ideal para proyectos. Estos tipos de solenoides se utilizan a menudo la automatización de pequeños sistemas, pueden ser usados como control remoto, etc. Sin embargo, son muy buenas para la mayoría de los proyectos que requiera un solenoide CC.",8
LCD102B6B,/l/c/lcd102b6b.jpg,LCD gráfica 128*64 (KS0108) - Azul y Verde-Amarillo, $365.00 ," :
Dim, Ext: 73.",43
LED115A1B,/l/e/led115a1b.jpg,LED de 3mm verde - 100 unidades, $90.00 ,"LED de 3mm discreto de color verde, 100 PCs/paquete, funciona bien en la 
Documentos
",10
LED201A5B,/l/e/led201a5b.jpg,Matriz LED 8*8 de 20mm  - Roja, $37.00 ,Descargar ficha técnica ,4
LED415B7B,/l/e/led415b7b.jpg,Tira de LED RGB de12V ánodo común de 3W, $57.00 ,Tira de LED RGB de12V ánodo común de 3W,5
MOT105A2B,/m/o/mot105a2b.jpg,Mini motor de vibración, $24.00 ,"Coraza y exterior de protección de goma plástica, es súper pequeño con una fuerza de salida media.",2
MOT114A1B,/m/o/mot114a1b.jpg,Motor reductor 6V 60rpm - A prueba de polvo, $175.00 ,"Excelente motor reductor con caja a prueba de polvo, funcionando a 6v 60rpm.",10
SEN114A2B,/s/e/sen114a2b.jpg,Interruptor de puerta magnético, $36.00 ,Conéctelo fácilmente a puertas con los agujeros para tornillos.,9
INT112D2P,/i/n/int112d2p.jpg,Usnoobie Kit, $375.00 ,El USnooBie es un kit de microcontrolador que no requiere ningún tipo de programador de AVR o conversor USB a serial para cargar y ejecutar código compilado. Su diseño de hardware permite al usuario desarrollar dispositivos USB de bajo costo con microcontroladores AVR ATmega de Atmel.  También se puede utilizar para desarrollar proyectos que no sean dispositivos USB.,20
ACC08101P,/a/c/acc08101p.jpg,Screw Shield, $140.00 ,"El Screw Shield es un Shield tipo ala que se extiende a ambos lados de tu Arduino o variante de Arduino en unas duraderas y confiables terminales de bloques.
Por el lado de los pines digitales, contiene 18 terminales: 16 terminales normales y 2 extra GND. En cuanto al lado de pines analógicos, hay 16 terminales (12 terminales normales, 4 terminales adicionales para Vin, 2 * GND y 5V) y 2 vías para 2 pines adicionales ADC.",35
ARD62219P,/a/r/ard62219p.jpg,Bugduino V2.0, $820.00 ,"El BUGduino fue diseñado y construido para hacer del desarrollo de hardware personalizado para su  lo menos doloroso posible! Es una plataforma de composición abierta sobre la cual se puede construir lo que quieras. El BUGduino es básicamente un tablero de arranque AVR que funciona muy bien con su BUGbase. Además, como puede imaginar, BUGduino es totalmente compatible con Arduino.",25
ARM03121P,/a/r/arm03121p.png,FEZ Hydra Mainboard ," $1,860.00 ","FEZ Hydra es una tarjeta base de código 100% abierto (hardware y software) compatible con .NET Gadgeteer  para correr . NET Micro Framework. Incorpora un procesador ARM9 de 240MHz AT91SAMRL. Con 16 MB de SDRAM 4MB de FLASH, FEZ Hydra es capaz de correr las aplicaciones más complejas.
 principales
14 terminales compatibles con .NET Gadgeteer, que incluyen los siguientes tipos: X, Y, A, D, F, I, K, P, S, T, U, R, G, B y Z.",27
ARM04121O,/a/r/arm04121o.jpg,Beagle Bone - ARM Corex A8," $2,070.00 ","El BeagleBone es la placa BeagleBoard de mas bajo costo y alta expansión, utiliza un procesador ARM AM335x Cortex A8 de bajo costo. Es similar a las anteriores placas BeagleBoards y puede actuar como un compañero de expansión USB o Ethernet para su BeagleBoard actual y BeagleBoard Xm o para tareas independientes.",75
ARM07251M,/a/r/arm07251m.png,Placa de prototipos mbed NXP LPC11U24 (Cortex-M0)," $1,050.00 ","Los microcontroladores mbed son una serie de placas de desarrollo de microcontroladores ARM diseñados para prototipos rápidos.
El Microcontrolador mbed NXP LPC11U24 está diseñado en particular para prototipos de dispositivos USB de bajo costo, aplicacion con baterías y diseños basados en 32-bit ARM® Cortex ™-M0.",95
ARM09281P,/a/r/arm09281p.jpg,FST-01 Mini Computadora 32 bits , $820.00 ,"FST-01 es una pequeña computadora USB de 32-bit. Busca tener un diseño minimalista. Todos los elementos innecesarios fueron retirados. Este dispositivo tiene dos aplicaciones para las cuales esta destinado. El primero es Gnuk (Token Criptográfico para GnuPG) y la segunda aplicación es NeuG (generador de números aleatorios en función de ruido ADC).
Esta es una tarjeta para evaluación, desarrollo y/o para aquellos que quieren diseñar sus propios proyectos.",4
ARM15052P,/a/r/arm15052p.jpg,FEZ Panda II, $940.00 ,"El 72Mhz FEZ Panda II que ejecuta. NET Micro Framework, permite a los usuarios programar y debuguear FEZ Panda mediante el software gratuito de Microsoft Visual C# Express. Las aplicaciones se cargan a través de un cable USB (o serie) con todas las capacidades destacadas para debuguear, tales como pisar en el código o la inspección de variables.",52
ARM60717P,/a/r/arm60717p.jpg,Maple Mini - ARM Cortex M3, $820.00 ,"El Maple Mini es un PCB con posibilidad de conectarse en una placa de desarrollo para aplicaciones donde el espacio es limitado o simplemente porque una placa de desarrollo es la herramienta de creación de prototipos preferido por usted. Más pequeño que un palo de goma, el Maple Mini incluye un menor, 48-pin STM32 con la misma velocidad y memoria como el Maple original, pero con 34 GPIOs . Puede ser alimentado por USB o una fuente externa.",8
BSQ15211M,/b/s/bsq15211m.jpg,B-Squares (Proto-square), $305.00 ,"B-Squares es una plataforma modular que utiliza energía solar y  provee energía de respaldo, permitiendo a los aficionados hacer prototipos de tecnología limpia con Arduino más rápido que nunca antes.
Los módulos tienen contactos magnéticos en cada esquina, que les permiten ensamblarse entre sí fácilmente.",50
CAB114C4O,/c/a/cab114c4o.jpg,Cable convertidor de BNC a TRS 3.5mm (DSO nano), $24.00 ,Este es un cable convertidor de TRS (3.5mm) a BNC para el DSO NANO. Usted puede convertir directamente cualquier sonda BNC otro de otro osciloscopio de almacenamiento digital a una sonda DSO nano compatible.,18
COM04051P,/c/o/com04051p.jpg,Grove - LED Azul (5mm), $32.00 ," Módulo LED de propósito general en formato Grove, disponible en diferentes colores.",2
COM04052P,/c/o/com04052p.jpg,Grove - Multi color del flash LED (5mm), $32.00 ,"Módulo LED de propósito general en formato Grove, disponible en diferentes colores.",2
COM04053P,/c/o/com04053p.jpg,Grove - LED verde (3mm), $32.00 ,"Módulo LED de propósito general en formato Grove, disponible en diferentes colores.",2
COM04054P,/c/o/com04054p.jpg,Grove - LED rojo (3mm), $32.00 ,"Módulo LED de propósito general en formato Grove, disponible en diferentes colores.",2
COM04055P,/c/o/com04055p.jpg,Grove - LED púrpura (3 mm), $32.00 ,"Módulo LED de propósito general en formato Grove, disponible en diferentes colores.",2
COM04056P,/c/o/com04056p.jpg,Grove - LED Blanco (5mm), $32.00 ,"Módulo LED de propósito general en formato Grove, disponible en diferentes colores.",2
COM05231P,/c/o/com05231p.jpg,Grove - Potenciómetro lineal, $105.00 ,"Este potenciómetro lineal es una resistencia lineal variable con una resistencia total de 10k. Al mover la palanca de un lado a otro, su voltaje de salida oscilará entre 0 V a el voltaje (VCC) aplicado. Tres de las cuatro pines Grove están conectados a VCC, GND y el ADC IN al carril lineal, mientras que el cuarto pin está conectado a un indicador (LED verde). Usted puede utilizar el LED indicador para mostrar visualmente el cambio en el potenciómetro.",9
COM08211P,/c/o/com08211p.jpg,Grove - Botón (P), $36.00 ,"Este Botón Grove es una versión hermana del  . Son idénticos, excepto que el conector Grove se mueve a la parte de atrás para que pueda ser utilizado de una forma más limpia, sin necesidad de cables, generando una interfaz con el humano sin cables conectados.
Los productos grove serie P cuentan con agujeros para montar facilmente la placa.",3
COM08212P,/c/o/com08212p.jpg,Grove - Sensor de ángulo de giratorio (P), $42.00 ,"Este sensor de ángulo giratorio es una versión hermana del original  . Son idénticos, excepto el conector Grove se mueve a la parte de atrás para que pueda ser utilizado de una forma más limpia, sin necesidad de cables, generando una interfaz con el humano sin cables conectados.",3
COM10221P,/c/o/com10221p.jpg,Grove - Amplificador, $340.00 ,Encuentra la creación de un IC amplificador en la protoboard un trabajo molesto y totalmente sin-necesidad-de-repetir? Este módulo Grove le puede ahorrar el desorden que conforma su implementacion integrando todo el circuito operativo. Está diseñado para la amplificación de entradas diferenciales con una alta precisión.,4
COM14048P,/c/o/com14048p.jpg,Grove - Adaptador PS/2, $69.00 ,"Este adaptador TWIG PS/2 le da a tu placa arduino/Seeeduino una interfaz PS/2 en la que se puede conectar un ratón PS/2 o teclado directamente, también, la biblioteca PS/2 hace que logres la codificación PS/2 con facilidad.",5
COM22242P,/c/o/com22242p.jpg,Grove - Botón, $33.00 ,"Esta nueva versión del botón Twig contiene un botón independiente, que se configuran con una resistencia de pull-down. Listo para su uso con los microcontroladores como entrada digital. El botón señala el cable SIG, NC no se utiliza en Twig.",3
COM22341P,/c/o/com22341p.jpg,Grove - LED, $32.00 ,"Esta nueva versión del TWIG LED consiste en un LED verde. Funciona a 5V DC. Perfecto para su uso en las salidas digitales del Seeeduino , o también puede ser controlado usando modulación por ancho de pulso. Cada LED tiene una resistencia limitadora de corriente, que protege el LED y al Arduino de la alta corriente.",3
COM53120P,/c/o/com53120p.jpg,Grove - LED de color variable , $64.00 ,"Este producto consiste en un LED RGB de 8 mm. Funciona a 5V DC. Cuando el pin SIG se coloca a estado lógico cero, el color del LED RGB se muestra. Perfecto para su uso en las salidas digitales Seeeduino, o también puede ser controlado usando modulación por ancho de pulso. Utiliza tres resistencia ajustable para cambiar el color del LED RGB.",5
ELB111C5M,/e/l/elb111c5m.jpg,Electronic brick- cable de 3 hilos ambos lados (5 piezas), $80.00 ,Diseñado para conectividad de sensores shield V4 y conectividad Chassis.,23
ELB126E4P,/e/l/elb126e4p.jpg,Sensor de Humo (MQ2) - Electronic Brick, $97.00 ,"Este ladrillo electrónico viene con un sensor de humo MQ2, al cual se le puede ajustar la sensibilidad con un potenciómetro
Estos sensores se utilizan en equipos de detección de fugas de gas en el hogar y la industria; son perfectamente adecuados para la detección de gas GLP, butano, propano, metano, alcohol, hidrógeno, humo causado por combustión en general.",9
ELB128E4M,/e/l/elb128e4m.jpg,Electronic brick- cable de 3 hilos un lado (5 piezas), $50.00 ,Diseñado para conectividad de sensores shield V4 y conectividad Chassis.,22
ELB130E3O,/e/l/elb130e3o.jpg,Electronic Brick - Cable de 4 hilos totalmente abrochado (5PCs/Paquete), $50.00 ,"Diseñado para la conectividad de la placa de Sensores V4 y el chasis, conexiones básicas del módulo analógico/digital.",23
ELB140E3O,/e/l/elb140e3o.jpg,3 cables de Hembra a Macho - Electronic Brick (5 Piezas), $80.00 ,"Este cable está diseñado para conectar los ladrillos Electronic Brick a un Arduino sin Shields o chasis. Con este cable, usted puede conectar directamente los ladrillos electrónicos a los pines de una placa Arduino o Seeeduino, puede hacer que su proyecto con sus ladrillos electrónicos sea más flexible y fácil de ensamblar.",22
ELB141D1P,/e/l/elb141d1p.jpg,Kit de ProtoShield - Electronic Brick, $74.00 ,"Este es un kit de Protoshield con el mismo conector que un Electronic Brick, se puede soldar algo sobre esta tarjeta y utilizarse como un aditamento Electronic Brick.",8
ELE101C4O,/e/l/ele101c4o.jpg,Cable convertidor Grove - Electronic Brick (5 piezas), $52.00 ,"Éste cable está diseñado para hacer compatibles los Electronic Brick con la nueva serie Grove. Es básicamente un arnés con extremos de un sistema y otro, flexible y muy útil.",5
ELE102C4O,/e/l/ele102c4o.jpg,Electronic brick - 3 pines a 4 pines Grove (5 pz.), $52.00 ,"Este cable está diseñado para hacer Electronic Bricks, compatible con la nueva base shield grove.",5
ELE103C4O,/e/l/ele103c4o.jpg,Electronic brick - 3 pin a Grove 4 pin cable convertidor (5 pz.), $52.00 ,"Este cable está diseñado para hacer Electronic Bricks, compatible con la nueva base shield grove.",5
FPG12453P,/f/p/fpg12453p.jpg,Papilio Arcade - FPGA Videojuegos, $375.00 ,"Tanto si eres un entusiasta del juego clásico o un desarrollador, un aficionado o un hacker de hardware, el Papilio Arcade está llena de posibilidades para explorar.",62
GAD11085P,/g/a/gad11085p.jpg,Modulo Joystick - Compatible con .NET Gadgeteer, $106.00 ,"Este módulo Joystick puede medir la posición en los ejes X e Y, moviendo el stick. También contiene un interruptor activandolo pulsando el stick hacia abajo. Similar a lo que se utiliza en el control de XBOX.
Requiere conector tipo A.",15
GAD11639P,/g/a/gad11639p.jpg,Módulo de corriente - Compatible con .NET Gadgeteer, $345.00 ,"Sensor de corriente para Gadgeteer. Este transformador de corriente no invasiva tiene un ratio de 1800:1 turno actual, y una resistencia de muestreo de 62 Ohms. Es conveniente para la medición de corriente y el control de CA.
Requiere conector tipo A.",80
GAD11929P,/g/a/gad11929p.jpg,Botón - Compatible con .NET Gadgeteer, $76.00 ,"Módulo de botón para dispositivos compatibles con Gadgeteer. Este módulo está equipado con un LED configurable integrado en la tabla.
Requiere conector tipo X o Y.",5
GAD11935M,/g/a/gad11935m.jpg,Mostrar T35 Módulo -. Gadgeteer NET Compatible," $2,330.00 ","Módulo de visualización con pantalla táctil a colores de 3.5"" y 320x240 pixeles
Requiere conectores tipo R, G, B para las señales de LCD y conector tipo T opcional para la pantalla táctil.",70
GAD12308P,/g/a/gad12308p.jpg,"Módulo ""LightSense"" - Gadgeteer compatible con .NET", $121.00 ,"Este sensor mide la intensidad de la luz.
Requiere conector tipo A.
  Gadgeteer compatible con .NET con cable incluido.",40
